Year,Mon,Day,Jday,Hr,Min,Rain[mm/h],Month+year,Lat,Lon
2015,1,2,2,22,29,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,30,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,31,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,32,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,33,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,34,1.14,1/2015,47.35902,-123.99142
2015,1,2,2,22,35,1.13,1/2015,47.35902,-123.99142
2015,1,2,2,22,36,1.13,1/2015,47.35902,-123.99142
2015,1,2,2,22,37,1.12,1/2015,47.35902,-123.99142
2015,1,2,2,22,38,1.11,1/2015,47.35902,-123.99142
2015,1,2,2,22,39,1.1,1/2015,47.35902,-123.99142
2015,1,2,2,22,40,1.09,1/2015,47.35902,-123.99142
2015,1,2,2,22,41,1.08,1/2015,47.35902,-123.99142
2015,1,2,2,22,42,1.08,1/2015,47.35902,-123.99142
2015,1,2,2,22,43,1.07,1/2015,47.35902,-123.99142
2015,1,2,2,22,44,1.06,1/2015,47.35902,-123.99142
2015,1,2,2,22,45,1.05,1/2015,47.35902,-123.99142
2015,1,2,2,22,46,1.05,1/2015,47.35902,-123.99142
2015,1,2,2,22,47,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,48,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,49,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,50,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,51,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,52,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,53,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,54,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,55,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,56,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,57,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,58,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,59,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,23,10,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,23,11,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,23,12,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,23,13,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,23,14,3.05,1/2015,47.35902,-123.99142
2015,1,3,3,3,59,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,0,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,1,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,2,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,3,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,4,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,5,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,6,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,7,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,8,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,9,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,10,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,11,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,12,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,13,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,14,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,15,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,16,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,17,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,18,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,19,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,20,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,21,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,22,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,23,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,24,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,25,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,4,26,1.09,1/2015,47.35902,-123.99142
2015,1,3,3,19,43,3.05,1/2015,47.35902,-123.99142
2015,1,3,3,19,44,3.05,1/2015,47.35902,-123.99142
2015,1,3,3,19,45,3.05,1/2015,47.35902,-123.99142
2015,1,3,3,19,46,3.05,1/2015,47.35902,-123.99142
2015,1,3,3,19,47,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,7,44,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,7,45,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,7,46,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,7,47,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,7,48,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,8,18,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,8,19,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,8,20,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,8,21,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,8,22,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,13,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,14,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,15,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,16,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,17,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,44,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,45,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,46,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,47,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,10,48,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,0,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,1,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,2,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,3,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,4,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,19,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,20,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,21,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,22,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,23,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,38,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,39,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,40,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,41,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,42,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,58,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,11,59,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,12,0,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,12,1,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,12,2,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,10,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,11,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,12,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,13,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,14,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,26,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,27,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,28,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,29,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,30,3.05,1/2015,47.35902,-123.99142
2015,1,4,4,14,45,1.54,1/2015,47.35902,-123.99142
2015,1,4,4,14,46,1.55,1/2015,47.35902,-123.99142
2015,1,4,4,14,47,1.55,1/2015,47.35902,-123.99142
2015,1,4,4,14,48,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,14,49,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,14,50,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,14,51,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,14,52,1.55,1/2015,47.35902,-123.99142
2015,1,4,4,14,53,1.55,1/2015,47.35902,-123.99142
2015,1,4,4,14,54,1.54,1/2015,47.35902,-123.99142
2015,1,4,4,14,55,1.53,1/2015,47.35902,-123.99142
2015,1,4,4,14,56,1.51,1/2015,47.35902,-123.99142
2015,1,4,4,14,57,1.5,1/2015,47.35902,-123.99142
2015,1,4,4,14,58,1.48,1/2015,47.35902,-123.99142
2015,1,4,4,14,59,1.46,1/2015,47.35902,-123.99142
2015,1,4,4,15,0,1.44,1/2015,47.35902,-123.99142
2015,1,4,4,15,1,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,15,2,1.4,1/2015,47.35902,-123.99142
2015,1,4,4,15,3,1.39,1/2015,47.35902,-123.99142
2015,1,4,4,15,4,1.38,1/2015,47.35902,-123.99142
2015,1,4,4,15,5,1.37,1/2015,47.35902,-123.99142
2015,1,4,4,15,6,1.37,1/2015,47.35902,-123.99142
2015,1,4,4,15,7,1.36,1/2015,47.35902,-123.99142
2015,1,4,4,15,8,1.37,1/2015,47.35902,-123.99142
2015,1,4,4,15,9,1.37,1/2015,47.35902,-123.99142
2015,1,4,4,15,10,1.38,1/2015,47.35902,-123.99142
2015,1,4,4,15,11,1.39,1/2015,47.35902,-123.99142
2015,1,4,4,15,12,1.39,1/2015,47.35902,-123.99142
2015,1,4,4,15,13,1.4,1/2015,47.35902,-123.99142
2015,1,4,4,15,14,1.4,1/2015,47.35902,-123.99142
2015,1,4,4,15,15,1.4,1/2015,47.35902,-123.99142
2015,1,4,4,15,16,1.4,1/2015,47.35902,-123.99142
2015,1,4,4,15,17,1.39,1/2015,47.35902,-123.99142
2015,1,4,4,15,18,1.39,1/2015,47.35902,-123.99142
2015,1,4,4,15,19,1.38,1/2015,47.35902,-123.99142
2015,1,4,4,15,20,1.36,1/2015,47.35902,-123.99142
2015,1,4,4,15,21,1.35,1/2015,47.35902,-123.99142
2015,1,4,4,15,22,1.33,1/2015,47.35902,-123.99142
2015,1,4,4,15,23,1.32,1/2015,47.35902,-123.99142
2015,1,4,4,15,24,1.3,1/2015,47.35902,-123.99142
2015,1,4,4,15,25,1.29,1/2015,47.35902,-123.99142
2015,1,4,4,15,26,1.28,1/2015,47.35902,-123.99142
2015,1,4,4,15,27,1.27,1/2015,47.35902,-123.99142
2015,1,4,4,15,28,1.26,1/2015,47.35902,-123.99142
2015,1,4,4,15,29,1.25,1/2015,47.35902,-123.99142
2015,1,4,4,15,30,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,31,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,32,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,33,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,34,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,35,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,36,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,37,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,15,38,1.25,1/2015,47.35902,-123.99142
2015,1,4,4,15,39,1.26,1/2015,47.35902,-123.99142
2015,1,4,4,15,44,1.52,1/2015,47.35902,-123.99142
2015,1,4,4,15,45,1.48,1/2015,47.35902,-123.99142
2015,1,4,4,15,46,1.46,1/2015,47.35902,-123.99142
2015,1,4,4,15,47,1.44,1/2015,47.35902,-123.99142
2015,1,4,4,15,48,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,15,49,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,15,50,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,15,51,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,15,52,1.44,1/2015,47.35902,-123.99142
2015,1,4,4,15,53,1.46,1/2015,47.35902,-123.99142
2015,1,4,4,15,54,1.48,1/2015,47.35902,-123.99142
2015,1,4,4,15,55,1.52,1/2015,47.35902,-123.99142
2015,1,4,4,15,56,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,15,57,1.6,1/2015,47.35902,-123.99142
2015,1,4,4,15,58,1.65,1/2015,47.35902,-123.99142
2015,1,4,4,15,59,1.71,1/2015,47.35902,-123.99142
2015,1,4,4,16,0,1.78,1/2015,47.35902,-123.99142
2015,1,4,4,16,1,1.83,1/2015,47.35902,-123.99142
2015,1,4,4,16,2,1.88,1/2015,47.35902,-123.99142
2015,1,4,4,16,3,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,16,4,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,16,5,1.96,1/2015,47.35902,-123.99142
2015,1,4,4,16,6,1.97,1/2015,47.35902,-123.99142
2015,1,4,4,16,7,1.97,1/2015,47.35902,-123.99142
2015,1,4,4,16,8,1.96,1/2015,47.35902,-123.99142
2015,1,4,4,16,9,1.95,1/2015,47.35902,-123.99142
2015,1,4,4,16,10,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,16,11,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,16,12,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,16,13,1.88,1/2015,47.35902,-123.99142
2015,1,4,4,16,14,1.87,1/2015,47.35902,-123.99142
2015,1,4,4,16,15,1.85,1/2015,47.35902,-123.99142
2015,1,4,4,16,16,1.83,1/2015,47.35902,-123.99142
2015,1,4,4,16,17,1.83,1/2015,47.35902,-123.99142
2015,1,4,4,16,18,1.83,1/2015,47.35902,-123.99142
2015,1,4,4,16,19,1.86,1/2015,47.35902,-123.99142
2015,1,4,4,16,20,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,16,21,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,16,22,2,1/2015,47.35902,-123.99142
2015,1,4,4,16,23,2.08,1/2015,47.35902,-123.99142
2015,1,4,4,16,24,2.16,1/2015,47.35902,-123.99142
2015,1,4,4,16,25,2.22,1/2015,47.35902,-123.99142
2015,1,4,4,16,26,2.25,1/2015,47.35902,-123.99142
2015,1,4,4,16,27,2.24,1/2015,47.35902,-123.99142
2015,1,4,4,16,28,2.21,1/2015,47.35902,-123.99142
2015,1,4,4,16,29,2.14,1/2015,47.35902,-123.99142
2015,1,4,4,16,30,2.04,1/2015,47.35902,-123.99142
2015,1,4,4,16,31,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,16,32,1.84,1/2015,47.35902,-123.99142
2015,1,4,4,16,33,1.79,1/2015,47.35902,-123.99142
2015,1,4,4,16,34,1.79,1/2015,47.35902,-123.99142
2015,1,4,4,16,35,1.82,1/2015,47.35902,-123.99142
2015,1,4,4,16,36,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,16,37,2.01,1/2015,47.35902,-123.99142
2015,1,4,4,16,38,2.17,1/2015,47.35902,-123.99142
2015,1,4,4,16,39,2.35,1/2015,47.35902,-123.99142
2015,1,4,4,16,40,2.5,1/2015,47.35902,-123.99142
2015,1,4,4,16,41,2.59,1/2015,47.35902,-123.99142
2015,1,4,4,16,42,2.63,1/2015,47.35902,-123.99142
2015,1,4,4,16,43,2.62,1/2015,47.35902,-123.99142
2015,1,4,4,16,44,2.56,1/2015,47.35902,-123.99142
2015,1,4,4,16,45,2.45,1/2015,47.35902,-123.99142
2015,1,4,4,16,46,2.34,1/2015,47.35902,-123.99142
2015,1,4,4,16,47,2.24,1/2015,47.35902,-123.99142
2015,1,4,4,16,48,2.16,1/2015,47.35902,-123.99142
2015,1,4,4,16,49,2.08,1/2015,47.35902,-123.99142
2015,1,4,4,16,50,2.02,1/2015,47.35902,-123.99142
2015,1,4,4,16,51,1.96,1/2015,47.35902,-123.99142
2015,1,4,4,16,52,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,16,53,1.87,1/2015,47.35902,-123.99142
2015,1,4,4,16,54,1.82,1/2015,47.35902,-123.99142
2015,1,4,4,16,55,1.76,1/2015,47.35902,-123.99142
2015,1,4,4,16,56,1.71,1/2015,47.35902,-123.99142
2015,1,4,4,16,57,1.65,1/2015,47.35902,-123.99142
2015,1,4,4,16,58,1.58,1/2015,47.35902,-123.99142
2015,1,4,4,16,59,1.51,1/2015,47.35902,-123.99142
2015,1,4,4,17,0,1.44,1/2015,47.35902,-123.99142
2015,1,4,4,17,1,1.37,1/2015,47.35902,-123.99142
2015,1,4,4,17,2,1.31,1/2015,47.35902,-123.99142
2015,1,4,4,17,3,1.25,1/2015,47.35902,-123.99142
2015,1,4,4,17,4,1.2,1/2015,47.35902,-123.99142
2015,1,4,4,17,5,1.17,1/2015,47.35902,-123.99142
2015,1,4,4,17,6,1.14,1/2015,47.35902,-123.99142
2015,1,4,4,17,7,1.11,1/2015,47.35902,-123.99142
2015,1,4,4,17,8,1.1,1/2015,47.35902,-123.99142
2015,1,4,4,17,9,1.1,1/2015,47.35902,-123.99142
2015,1,4,4,17,10,1.1,1/2015,47.35902,-123.99142
2015,1,4,4,17,11,1.11,1/2015,47.35902,-123.99142
2015,1,4,4,17,12,1.13,1/2015,47.35902,-123.99142
2015,1,4,4,17,13,1.16,1/2015,47.35902,-123.99142
2015,1,4,4,17,14,1.2,1/2015,47.35902,-123.99142
2015,1,4,4,17,15,1.23,1/2015,47.35902,-123.99142
2015,1,4,4,17,16,1.26,1/2015,47.35902,-123.99142
2015,1,4,4,17,17,1.28,1/2015,47.35902,-123.99142
2015,1,4,4,17,18,1.29,1/2015,47.35902,-123.99142
2015,1,4,4,17,19,1.3,1/2015,47.35902,-123.99142
2015,1,4,4,17,20,1.31,1/2015,47.35902,-123.99142
2015,1,4,4,17,21,1.3,1/2015,47.35902,-123.99142
2015,1,4,4,17,22,1.3,1/2015,47.35902,-123.99142
2015,1,4,4,17,23,1.28,1/2015,47.35902,-123.99142
2015,1,4,4,17,24,1.27,1/2015,47.35902,-123.99142
2015,1,4,4,17,25,1.24,1/2015,47.35902,-123.99142
2015,1,4,4,17,26,1.21,1/2015,47.35902,-123.99142
2015,1,4,4,17,27,1.19,1/2015,47.35902,-123.99142
2015,1,4,4,17,28,1.18,1/2015,47.35902,-123.99142
2015,1,4,4,17,29,1.18,1/2015,47.35902,-123.99142
2015,1,4,4,17,30,1.19,1/2015,47.35902,-123.99142
2015,1,4,4,17,31,1.2,1/2015,47.35902,-123.99142
2015,1,4,4,17,32,1.23,1/2015,47.35902,-123.99142
2015,1,4,4,17,33,1.26,1/2015,47.35902,-123.99142
2015,1,4,4,17,34,1.31,1/2015,47.35902,-123.99142
2015,1,4,4,17,35,1.36,1/2015,47.35902,-123.99142
2015,1,4,4,17,36,1.42,1/2015,47.35902,-123.99142
2015,1,4,4,17,37,1.5,1/2015,47.35902,-123.99142
2015,1,4,4,17,38,1.57,1/2015,47.35902,-123.99142
2015,1,4,4,17,39,1.64,1/2015,47.35902,-123.99142
2015,1,4,4,17,40,1.69,1/2015,47.35902,-123.99142
2015,1,4,4,17,41,1.72,1/2015,47.35902,-123.99142
2015,1,4,4,17,42,1.75,1/2015,47.35902,-123.99142
2015,1,4,4,17,43,1.75,1/2015,47.35902,-123.99142
2015,1,4,4,17,44,1.74,1/2015,47.35902,-123.99142
2015,1,4,4,17,45,1.72,1/2015,47.35902,-123.99142
2015,1,4,4,17,46,1.68,1/2015,47.35902,-123.99142
2015,1,4,4,17,47,1.63,1/2015,47.35902,-123.99142
2015,1,4,4,17,48,1.58,1/2015,47.35902,-123.99142
2015,1,4,4,17,49,1.54,1/2015,47.35902,-123.99142
2015,1,4,4,17,50,1.51,1/2015,47.35902,-123.99142
2015,1,4,4,17,51,1.49,1/2015,47.35902,-123.99142
2015,1,4,4,17,52,1.48,1/2015,47.35902,-123.99142
2015,1,4,4,17,53,1.48,1/2015,47.35902,-123.99142
2015,1,4,4,17,54,1.49,1/2015,47.35902,-123.99142
2015,1,4,4,17,55,1.51,1/2015,47.35902,-123.99142
2015,1,4,4,17,56,1.53,1/2015,47.35902,-123.99142
2015,1,4,4,17,57,1.56,1/2015,47.35902,-123.99142
2015,1,4,4,17,58,1.6,1/2015,47.35902,-123.99142
2015,1,4,4,17,59,1.63,1/2015,47.35902,-123.99142
2015,1,4,4,18,0,1.66,1/2015,47.35902,-123.99142
2015,1,4,4,18,1,1.7,1/2015,47.35902,-123.99142
2015,1,4,4,18,2,1.73,1/2015,47.35902,-123.99142
2015,1,4,4,18,3,1.76,1/2015,47.35902,-123.99142
2015,1,4,4,18,4,1.79,1/2015,47.35902,-123.99142
2015,1,4,4,18,5,1.82,1/2015,47.35902,-123.99142
2015,1,4,4,18,6,1.85,1/2015,47.35902,-123.99142
2015,1,4,4,18,7,1.88,1/2015,47.35902,-123.99142
2015,1,4,4,18,8,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,9,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,10,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,18,11,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,18,12,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,18,13,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,18,14,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,18,15,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,18,16,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,17,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,18,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,19,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,20,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,21,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,18,22,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,18,23,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,18,24,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,18,25,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,26,1.9,1/2015,47.35902,-123.99142
2015,1,4,4,18,27,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,28,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,18,29,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,18,30,1.95,1/2015,47.35902,-123.99142
2015,1,4,4,18,31,1.96,1/2015,47.35902,-123.99142
2015,1,4,4,18,32,1.95,1/2015,47.35902,-123.99142
2015,1,4,4,18,33,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,18,34,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,18,35,1.89,1/2015,47.35902,-123.99142
2015,1,4,4,18,36,1.85,1/2015,47.35902,-123.99142
2015,1,4,4,18,37,1.8,1/2015,47.35902,-123.99142
2015,1,4,4,18,38,1.75,1/2015,47.35902,-123.99142
2015,1,4,4,18,39,1.7,1/2015,47.35902,-123.99142
2015,1,4,4,18,40,1.67,1/2015,47.35902,-123.99142
2015,1,4,4,18,41,1.66,1/2015,47.35902,-123.99142
2015,1,4,4,18,42,1.65,1/2015,47.35902,-123.99142
2015,1,4,4,18,43,1.66,1/2015,47.35902,-123.99142
2015,1,4,4,18,44,1.68,1/2015,47.35902,-123.99142
2015,1,4,4,18,45,1.72,1/2015,47.35902,-123.99142
2015,1,4,4,18,46,1.76,1/2015,47.35902,-123.99142
2015,1,4,4,18,47,1.82,1/2015,47.35902,-123.99142
2015,1,4,4,18,48,1.87,1/2015,47.35902,-123.99142
2015,1,4,4,18,49,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,50,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,18,51,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,18,52,1.94,1/2015,47.35902,-123.99142
2015,1,4,4,18,53,1.93,1/2015,47.35902,-123.99142
2015,1,4,4,18,54,1.91,1/2015,47.35902,-123.99142
2015,1,4,4,18,55,1.88,1/2015,47.35902,-123.99142
2015,1,4,4,18,56,1.86,1/2015,47.35902,-123.99142
2015,1,4,4,18,57,1.85,1/2015,47.35902,-123.99142
2015,1,4,4,18,58,1.86,1/2015,47.35902,-123.99142
2015,1,4,4,18,59,1.88,1/2015,47.35902,-123.99142
2015,1,4,4,19,0,1.92,1/2015,47.35902,-123.99142
2015,1,4,4,19,1,1.97,1/2015,47.35902,-123.99142
2015,1,4,4,19,2,2.04,1/2015,47.35902,-123.99142
2015,1,4,4,19,3,2.11,1/2015,47.35902,-123.99142
2015,1,4,4,19,4,2.17,1/2015,47.35902,-123.99142
